Base Unit of Measure,Calendar Month,Calendar Week,Country,Currency_GR value pstg. date,Currency_Net order value,Date on which the purchasing document was created,Evaluated Receipt Settlement_ERS,Final Invoice Indicator,Fiscal year,Fiscal year/period,Fiscal year variant,Goods Receipt Indicator,GR-Based Invoice Verification,Inbound Delivery Date,InfoProvider,Invoice Receipt Indicator,Item Category in Purchasing Document,Item number of purchasing document,Item of Principal Agreement,Local Currency,Material Group,Meeting ID,Name of requisitioner/requester,Number of Principal Purchase Agreement,Order unit,Planned delivery date of document schedule line,Planned Delivery Month,Plant,Plant Material,PO Approver ID,PO Item,PO Release date,PO Release Indicator,PO Requisitioner Personnel Number,Posting Date in the Document,Product Description,Puchasing document category,Purchase Document Date,Purchase Order Currency,Purchasing document number,Purchasing Document Type,Purchasing Group,Purchasing Organization,Request Transaction Sequence Number,Schedule line date,Schedule line number,Statistics date,Status of purchasing document,Trial Alias,Unit Goods Receipt Quantity in Base Unit,Unit Invoiced Quantity in Base Unit,Unit Open Quantity,Unit Order Quantity in Base Unit,Unit Order quantity,Unit PO quantity,Unit Quantity Received
EA,8,31,Mozambique,26881.5,12402.15,2025-08-03,No,Picture,Perhaps,Parent,Oil,No,Performance,2025-08-16,255405331,Particularly,Along,82,Really,GBP,Score,298493290,Rhonda Shepherd,875020359,EA,2025-09-28,Try,EU02,MAT-84265,EMP128824,27,2025-08-02,Released,360894229,2025-08-03,Help Solution,Take,2025-08-03,USD,3463344477,FO,PG57,EU01,932830803,2025-08-16,2,2026-01-02,Open,CT-8970-PLO,32,60,31,98,368,98,94
EA,12,49,Serbia,46212.26,17311.73,2024-12-02,No,Final,Still,Detail,Hair,No,Admit,2024-12-24,240589349,Determine,These,69,Word,USD,Teacher,312628540,Derek Wilson,504076223,EA,2026-08-13,Way,LAT04,MAT-91309,EMP701126,89,2024-12-01,Released,821227814,2024-12-02,Simply Injection,Him,2024-12-02,GBP,6358857616,NB,PG79,NA01,142878541,2024-12-24,1,2024-05-08,Open,CT-8015-GMQ,145,216,15,229,231,229,224
EA,3,10,Moldova,6394.45,14715.27,2025-03-07,No,Candidate,Morning,Interest,Bed,Yes,Throughout,2025-03-23,299443852,Serious,Career,88,Likely,JPY,Pick,202684064,Rhonda Giles,731316287,EA,2025-01-17,Specific,AP03,MAT-98864,EMP517185,84,2025-03-06,Pending,398565519,2025-03-07,Positive Injection,Share,2025-03-07,USD,8809409220,NB,PG89,NA01,986065816,2025-03-23,3,2025-05-30,Open,CT-9781-BYC,18,261,72,282,104,282,281
EA,7,29,Burundi,37146.02,21624.99,2025-07-18,Yes,Tell,Design,Network,Customer,No,Property,2025-08-11,545147516,Arrive,Simple,62,Fund,JPY,Hair,211448212,Jesus Newton,596539190,EA,2025-01-15,Stock,EU02,MAT-56157,EMP551009,90,2025-07-17,Released,688879891,2025-07-18,Contain Solution,You,2025-07-18,EUR,7923059106,FO,PG55,NA01,614975102,2025-08-11,2,2025-11-10,Open,CT-7487-KNX,23,24,105,206,427,206,202
EA,10,42,San Marino,35817.02,26080.3,2025-10-18,No,Need,Including,Your,Positive,Yes,Have,2025-10-26,189577732,Air,Green,51,However,USD,Least,757682994,Stephanie Stanley,132562238,EA,2026-02-05,Free,US01,MAT-47140,EMP881014,87,2025-10-17,Released,144607408,2025-10-18,Side Capsule,Suffer,2025-10-18,EUR,2772462336,FO,PG86,NA01,275388836,2025-10-26,4,2026-07-20,Closed,CT-8742-ECD,6,34,1,37,379,37,37
EA,6,25,British Virgin Islands,37518.46,19620.04,2025-06-16,No,Lead,Point,State,Option,Yes,Cold,2025-07-11,854795294,Public,Can,58,Range,EUR,Order,473257151,Jason Nolan Jr.,385252751,EA,2025-12-22,Arm,LAT04,MAT-22610,EMP313442,84,2025-06-15,Pending,599342920,2025-06-16,Us Solution,Beautiful,2025-06-16,EUR,6686400222,FO,PG12,NA01,724654825,2025-07-11,4,2024-09-19,Closed,CT-9771-CZL,77,209,91,259,400,259,257
EA,7,30,Haiti,33819.68,43619.32,2025-07-24,Yes,Number,Of,Put,Return,No,Break,2025-08-12,581942893,Shake,Game,49,High,JPY,Medical,723089719,Scott Cohen,438217100,EA,2026-11-07,Feeling,US01,MAT-84153,EMP520160,42,2025-07-23,Pending,338893498,2025-07-24,Floor Patch,In,2025-07-24,EUR,2250882908,NB,PG55,NA01,687447139,2025-08-12,5,2025-09-14,Open,CT-3472-PNG,25,189,148,250,451,250,246
EA,8,32,Algeria,19328.64,30026.77,2025-08-04,Yes,Physical,Family,Successful,Later,No,Various,2025-08-22,765887210,Identify,Baby,66,Again,GBP,Force,411702128,Tiffany Larson,448242566,EA,2025-09-03,Hair,US01,MAT-81584,EMP283505,61,2025-08-03,Released,445185698,2025-08-04,Set Solution,Good,2025-08-04,GBP,2145457874,FO,PG59,EU01,816304193,2025-08-22,3,2025-02-01,Closed,CT-5806-JWO,8,4,6,21,379,21,18
EA,1,5,Niger,30187.72,17118.92,2025-01-29,Yes,Others,Approach,Sit,Everyone,No,Religious,2025-02-05,662072785,Writer,Street,34,Car,GBP,More,384357190,Carol Brewer,203599737,EA,2026-10-18,Majority,US01,MAT-59372,EMP130658,33,2025-01-28,Pending,430100525,2025-01-29,Issue Patch,Party,2025-01-29,USD,4630108439,NB,PG44,EU01,617862582,2025-02-05,1,2023-12-21,Closed,CT-7487-KNX,154,266,98,291,473,291,291
EA,1,3,Bulgaria,44097.83,28941.91,2025-01-15,No,Republican,Such,Say,Tend,Yes,Those,2025-02-07,437042079,Sense,That,50,Great,EUR,Western,392335170,Melissa Anderson,328023856,EA,2024-05-12,Itself,US01,MAT-81584,EMP257329,39,2025-01-14,Released,288816100,2025-01-15,Set Solution,Simply,2025-01-15,EUR,5465856149,NB,PG11,EU01,300265211,2025-02-07,4,2025-10-16,Closed,CT-5806-JWO,91,8,10,119,319,119,117
EA,9,38,Azerbaijan,1644.96,31277.96,2025-09-17,No,Free,Treat,Suffer,Wind,Yes,Once,2025-10-03,299539469,Even,To,83,Change,EUR,Military,696561937,Nicholas Clay,147228839,EA,2024-03-16,Many,LAT04,MAT-39627,EMP366278,44,2025-09-16,Pending,825801972,2025-09-17,Fund Tablet,Court,2025-09-17,USD,8235093624,FO,PG65,EU01,725551979,2025-10-03,2,2023-12-20,Closed,CT-5014-EEP,25,5,9,27,433,27,27
EA,3,13,Jordan,24969.24,15756.87,2025-03-26,No,Itself,Build,Performance,Cause,No,Off,2025-04-14,905646248,Item,Else,81,Each,USD,Particular,220809757,Christopher Brown,425543819,EA,2026-03-15,Company,LAT04,MAT-53554,EMP197216,35,2025-03-25,Released,650966593,2025-03-26,They Capsule,Happy,2025-03-26,EUR,2810852403,FO,PG18,EU01,336212467,2025-04-14,5,2025-01-04,Closed,CT-5014-EEP,9,7,11,30,198,30,30
EA,12,49,Comoros,16555.71,16195.62,2024-12-08,Yes,Over,Course,However,While,No,Ready,2024-12-16,222685617,Way,Set,16,Husband,GBP,Increase,519057299,Aaron Johnson,953054009,EA,2026-07-04,Method,US01,MAT-40706,EMP695368,26,2024-12-07,Released,813247268,2024-12-08,Keep Capsule,Edge,2024-12-08,GBP,5159340434,FO,PG98,EU01,907086920,2024-12-16,1,2025-02-24,Closed,CT-3395-UCM,37,31,7,38,472,38,38
EA,12,50,New Caledonia,13185.64,34177.14,2024-12-15,No,Reflect,Condition,Seven,Beat,No,Upon,2025-01-04,429633261,Instead,Treat,53,Local,EUR,Feel,785180266,Melissa Smith,631263077,EA,2024-02-05,Attention,AP03,MAT-47986,EMP222418,55,2024-12-14,Released,482279683,2024-12-15,Experience Tablet,Pretty,2024-12-15,GBP,5387860560,NB,PG10,EU01,951573529,2025-01-04,2,2025-10-01,Closed,CT-4229-AWU,47,25,38,61,68,61,61
EA,1,5,India,22885.71,24256.85,2025-01-28,Yes,Both,These,Reason,Down,No,Likely,2025-02-14,303981000,Significant,Different,22,Seek,EUR,Money,466198976,Kristy Blackwell,591808514,EA,2024-09-09,Child,AP03,MAT-18097,EMP494492,35,2025-01-27,Released,643450794,2025-01-28,Enter Capsule,While,2025-01-28,EUR,1999734373,NB,PG96,NA01,308538864,2025-02-14,3,2026-10-03,Open,CT-7047-GQC,31,1,97,189,379,189,185
EA,3,12,Barbados,20827.21,29469.22,2025-03-22,Yes,From,Investment,View,Value,No,For,2025-04-03,906783540,Himself,Nearly,67,Somebody,EUR,Prepare,170651706,Terry Gutierrez V,760573835,EA,2024-12-13,Responsibility,LAT04,MAT-49508,EMP825155,74,2025-03-21,Released,492755836,2025-03-22,Able Patch,Cost,2025-03-22,GBP,4184451252,NB,PG55,NA01,103841359,2025-04-03,2,2024-03-17,Open,CT-6592-IDY,228,23,162,233,428,233,233
EA,6,26,Wallis and Futuna,3250.44,32710.48,2025-06-28,No,Would,Campaign,Among,Hear,No,News,2025-07-19,788751154,Ever,Participant,26,Knowledge,USD,Treatment,143362130,Tracey Jackson,219817738,EA,2024-06-27,Many,LAT04,MAT-33775,EMP900127,58,2025-06-27,Pending,412931726,2025-06-28,Something Patch,Development,2025-06-28,USD,1148059840,NB,PG74,EU01,402326875,2025-07-19,5,2024-03-19,Open,CT-9831-IEW,145,92,117,195,457,195,191
EA,11,48,Switzerland,28325.29,33820.4,2024-11-30,Yes,Owner,Song,Capital,World,Yes,Defense,2024-12-16,471973361,Win,Care,29,Avoid,GBP,Ten,210499069,Taylor Thomas,280850199,EA,2024-12-20,Describe,AP03,MAT-54713,EMP410728,83,2024-11-29,Released,729278231,2024-11-30,Free Solution,Vote,2024-11-30,EUR,1203164555,FO,PG21,NA01,690574423,2024-12-16,1,2024-10-09,Open,CT-3230-HFO,7,142,56,154,348,154,154
EA,7,31,Tanzania,23410.57,41003.31,2025-07-30,Yes,Chair,Strong,Modern,Market,No,Machine,2025-08-13,733669048,Identify,Into,25,Just,JPY,Drive,387163667,Sherry Hill,435450326,EA,2023-12-07,American,LAT04,MAT-16078,EMP856298,28,2025-07-29,Pending,497500547,2025-07-30,Stock Patch,True,2025-07-30,USD,6870380849,NB,PG86,NA01,682363254,2025-08-13,3,2024-03-18,Open,CT-9831-IEW,213,20,184,253,219,253,252
EA,5,21,Estonia,33672.91,8712.91,2025-05-21,Yes,Attorney,Democratic,Piece,Budget,Yes,Speak,2025-06-01,976654118,Simple,Rise,58,Carry,JPY,Certain,329101727,Nicholas Garcia,216208888,EA,2025-05-30,Popular,EU02,MAT-54383,EMP410323,58,2025-05-20,Released,975747588,2025-05-21,Agency Injection,Physical,2025-05-21,USD,5716809275,NB,PG10,NA01,352167524,2025-06-01,3,2024-08-12,Closed,CT-3636-AVP,39,127,102,168,121,168,165
EA,4,17,Indonesia,23314.18,8055.82,2025-04-24,No,Operation,Forget,Prepare,Can,Yes,South,2025-05-11,157591380,Hold,Billion,30,Edge,GBP,Any,928705661,Rebecca Mendoza,313744432,EA,2026-08-04,Film,EU02,MAT-58634,EMP383332,34,2025-04-23,Pending,450935344,2025-04-24,Impact Patch,Operation,2025-04-24,EUR,7904892700,FO,PG91,NA01,538813870,2025-05-11,1,2024-03-24,Open,CT-7047-GQC,124,80,186,283,360,283,283
EA,9,38,Bouvet Island (Bouvetoya),12527.29,32116.64,2025-09-20,No,Let,Science,About,Claim,No,Movement,2025-09-29,833484898,Claim,Name,14,Plant,EUR,Responsibility,783550986,Jessica Leonard,336048338,EA,2025-03-19,They,LAT04,MAT-22354,EMP891345,49,2025-09-19,Pending,648909235,2025-09-20,Light Tablet,Moment,2025-09-20,USD,7529442370,NB,PG46,EU01,223346436,2025-09-29,2,2024-02-17,Open,CT-4229-AWU,64,23,148,258,284,258,258
EA,9,40,Thailand,29395.47,7494.38,2025-09-29,No,Case,Difference,Each,What,No,System,2025-10-28,456031951,Usually,Fund,31,Method,USD,Traditional,360966580,Alexis Oliver,509007480,EA,2024-09-26,Character,AP03,MAT-30703,EMP483071,65,2025-09-28,Released,547983312,2025-09-29,Cold Injection,Beyond,2025-09-29,EUR,8281744769,NB,PG73,EU01,617734444,2025-10-28,4,2024-11-27,Open,CT-3228-ZKT,36,133,64,216,155,216,214
EA,8,35,Jordan,7220.55,38854.12,2025-08-26,Yes,Hand,Data,Anyone,Song,Yes,While,2025-09-04,333305967,Laugh,Allow,11,Thought,EUR,President,167557281,Christopher Bailey,440976351,EA,2025-07-31,Leave,LAT04,MAT-53554,EMP962640,46,2025-08-25,Pending,418096951,2025-08-26,They Capsule,Loss,2025-08-26,EUR,4555535478,FO,PG57,EU01,978038794,2025-09-04,3,2024-10-30,Closed,CT-5014-EEP,64,69,149,220,108,220,219
EA,11,47,Madagascar,15023.78,25463.89,2024-11-18,No,Which,Decision,Nature,Share,No,Attention,2024-12-16,581614289,Sea,Detail,52,Detail,EUR,Feel,477206550,Jennifer Cole,933353179,EA,2024-02-06,Turn,EU02,MAT-79992,EMP821794,14,2024-11-17,Released,997885604,2024-11-18,Anyone Tablet,Adult,2024-11-18,EUR,7897883444,NB,PG77,EU01,326742569,2024-12-16,5,2026-07-15,Open,CT-6551-IBW,215,280,73,299,273,299,294
EA,5,19,Cyprus,17936.46,6812.91,2025-05-11,No,Seem,Know,Top,Type,Yes,Common,2025-05-21,891743954,Economy,Decide,22,Every,GBP,Attack,767023394,Shawn Finley,695659854,EA,2024-01-04,Director,US01,MAT-59372,EMP483980,65,2025-05-10,Released,908976394,2025-05-11,Issue Patch,Answer,2025-05-11,GBP,5578802008,FO,PG78,EU01,221934869,2025-05-21,1,2026-08-02,Open,CT-7487-KNX,13,19,189,251,78,251,248
EA,3,9,Zimbabwe,27610.42,15482.54,2025-03-02,Yes,Everything,Foot,Economy,Would,Yes,Since,2025-03-17,934670026,Or,Happy,22,Time,JPY,Successful,394075744,Paula Lee,800499206,EA,2025-10-09,Record,EU02,MAT-97442,EMP827937,82,2025-03-01,Pending,195788895,2025-03-02,Common Patch,Look,2025-03-02,USD,7756176067,FO,PG61,EU01,640110223,2025-03-17,4,2024-03-20,Closed,CT-2004-PSX,20,55,38,78,171,78,73
EA,11,47,Comoros,40193.98,12146.42,2024-11-23,Yes,Break,Tend,People,Painting,No,Shake,2024-12-16,745839318,Mission,Be,78,Music,EUR,Black,442017693,Alexander Johnson,231485982,EA,2024-10-07,Leg,US01,MAT-40706,EMP496256,82,2024-11-22,Pending,288273427,2024-11-23,Keep Capsule,Kitchen,2024-11-23,USD,3555828232,FO,PG14,NA01,754429658,2024-12-16,2,2025-07-10,Closed,CT-3395-UCM,84,22,12,90,484,90,88
EA,10,43,Azerbaijan,48513.49,34474.34,2025-10-23,Yes,Mean,Happen,State,Move,No,Black,2025-11-15,757514784,Find,Build,21,Carry,GBP,Mrs,153659048,Patricia Coleman,104489022,EA,2024-02-21,Board,LAT04,MAT-39627,EMP654520,11,2025-10-22,Pending,181858240,2025-10-23,Fund Tablet,Agent,2025-10-23,GBP,9131343452,NB,PG72,EU01,120889320,2025-11-15,4,2026-06-20,Closed,CT-5014-EEP,19,47,117,197,216,197,194
EA,6,24,Zimbabwe,16832.0,42565.21,2025-06-15,Yes,Item,Individual,Everything,Strategy,No,Cup,2025-07-06,576171753,Lawyer,Field,13,Choice,GBP,Institution,234365131,Adam Patel,527580257,EA,2025-11-17,Put,EU02,MAT-32011,EMP484715,44,2025-06-14,Released,329040045,2025-06-15,Offer Tablet,Me,2025-06-15,EUR,1493288219,FO,PG63,EU01,854008987,2025-07-06,5,2026-05-29,Closed,CT-2004-PSX,35,1,30,104,155,104,101
EA,6,25,Ecuador,17719.42,7157.61,2025-06-21,No,Actually,Leader,Able,Time,Yes,Hair,2025-07-17,513091911,Decade,Factor,68,Myself,JPY,Article,710670496,Tara Robinson,792683477,EA,2023-12-20,Car,AP03,MAT-86168,EMP126177,61,2025-06-20,Pending,342807182,2025-06-21,Run Solution,Off,2025-06-21,GBP,9911555203,FO,PG37,EU01,228926799,2025-07-17,3,2025-05-18,Closed,CT-6109-EDZ,177,138,125,270,35,270,270
EA,10,41,Anguilla,25452.06,26962.25,2025-10-06,No,Message,Lose,Nation,Pull,No,Between,2025-10-16,386386456,Say,Continue,24,Agency,JPY,Number,863738138,Katie Horton,410061284,EA,2026-04-08,Fight,US01,MAT-74459,EMP896782,17,2025-10-05,Released,646031140,2025-10-06,Memory Solution,Region,2025-10-06,GBP,7671364260,NB,PG17,EU01,488675602,2025-10-16,2,2025-09-02,Open,CT-8015-GMQ,7,15,153,269,143,269,266
EA,6,26,Zimbabwe,49085.65,8742.11,2025-06-29,No,Father,Difference,Drop,Military,No,Activity,2025-07-14,882138409,After,A,52,Environment,EUR,Eight,909257437,John Preston,130463320,EA,2026-01-06,Statement,EU02,MAT-60599,EMP175592,78,2025-06-28,Pending,269565472,2025-06-29,Traditional Patch,Soon,2025-06-29,GBP,3919226428,FO,PG16,NA01,188661032,2025-07-14,3,2025-02-27,Closed,CT-2004-PSX,17,57,26,111,361,111,107
EA,7,28,Moldova,46797.58,34616.56,2025-07-09,No,Language,Happen,Man,Language,Yes,Whose,2025-07-31,874482388,Court,Image,61,Expert,USD,Newspaper,897913186,Brianna Sanchez,296616277,EA,2026-08-28,Finally,AP03,MAT-98864,EMP880522,25,2025-07-08,Pending,769261329,2025-07-09,Positive Injection,Cause,2025-07-09,USD,4821280348,NB,PG45,NA01,379493789,2025-07-31,3,2024-06-05,Closed,CT-9781-BYC,27,8,56,88,451,88,83
EA,5,18,Cambodia,40576.61,16193.71,2025-05-02,No,Interest,None,Clearly,Former,Yes,Next,2025-06-01,920406294,Vote,Building,24,Generation,GBP,Edge,851934915,Daniel Wright,727147263,EA,2025-04-29,Young,AP03,MAT-86168,EMP788104,64,2025-05-01,Pending,260884758,2025-05-02,Run Solution,Itself,2025-05-02,EUR,6444334988,FO,PG82,EU01,435500487,2025-06-01,5,2025-09-13,Open,CT-6109-EDZ,120,85,28,135,290,135,133
EA,3,13,Turkey,15037.84,20645.16,2025-03-30,Yes,Budget,Night,This,Best,Yes,Model,2025-04-28,588651704,Research,Idea,46,Front,JPY,Someone,935821794,Jordan Mata,317726479,EA,2025-11-08,Plant,US01,MAT-34899,EMP124496,61,2025-03-29,Released,882232309,2025-03-30,Continue Capsule,Network,2025-03-30,USD,1947775558,NB,PG58,NA01,637867969,2025-04-28,5,2024-11-18,Closed,CT-3395-UCM,6,21,5,40,190,40,35
EA,10,42,Albania,36754.22,31372.7,2025-10-13,Yes,Easy,Near,Suffer,Central,Yes,Soldier,2025-11-11,216275412,Green,Team,26,Environmental,USD,A,996518039,Joshua Nelson,233564065,EA,2026-03-04,Never,AP03,MAT-98864,EMP917006,82,2025-10-12,Pending,138496476,2025-10-13,Positive Injection,Happen,2025-10-13,USD,9330613194,FO,PG34,EU01,695298690,2025-11-11,5,2025-10-07,Open,CT-9781-BYC,45,13,45,50,296,50,45
EA,3,11,Kazakhstan,19091.02,10927.94,2025-03-12,Yes,Trip,Ready,Too,Heavy,Yes,Suddenly,2025-04-09,917291667,Very,Leader,19,Expert,JPY,Traditional,305021198,Tracie Brown,848626158,EA,2023-12-08,Stage,US01,MAT-78401,EMP592896,50,2025-03-11,Released,616051443,2025-03-12,Expect Tablet,Address,2025-03-12,EUR,3453436851,NB,PG77,EU01,584714241,2025-04-09,1,2026-01-01,Closed,CT-1696-SCY,91,244,82,260,477,260,257
EA,4,14,Philippines,3752.51,28185.88,2025-04-06,Yes,Group,Worker,Later,Use,Yes,Energy,2025-04-30,270063554,Technology,Challenge,35,Become,USD,Play,739738916,Mary Miller,269968116,EA,2026-09-06,Fear,US01,MAT-23246,EMP297372,77,2025-04-05,Released,846441880,2025-04-06,Type Injection,Life,2025-04-06,EUR,3131292611,FO,PG60,EU01,352968752,2025-04-30,1,2024-09-18,Open,CT-8872-GKR,8,65,61,66,39,66,66
EA,8,31,Nauru,32881.22,41867.83,2025-08-02,Yes,Bill,Author,Whose,Quite,No,Federal,2025-08-19,888590840,Sport,Every,34,However,GBP,If,375501691,Jason Miller,862870481,EA,2024-07-12,Mr,US01,MAT-47140,EMP564395,43,2025-08-01,Released,303029375,2025-08-02,Side Capsule,Energy,2025-08-02,EUR,6332028469,FO,PG97,EU01,802608362,2025-08-19,1,2024-04-01,Open,CT-8742-ECD,29,173,166,175,242,175,172
EA,7,27,Ecuador,7208.76,27513.25,2025-07-04,No,Fill,Hard,Other,Quality,Yes,Somebody,2025-07-31,999507862,Term,Sign,22,Decide,EUR,Raise,514511412,Jessica Moore,673459628,EA,2025-11-24,Understand,AP03,MAT-86168,EMP875064,89,2025-07-03,Released,218500147,2025-07-04,Run Solution,Against,2025-07-04,EUR,4411486613,NB,PG56,NA01,752276005,2025-07-31,2,2026-09-10,Open,CT-6109-EDZ,52,107,74,142,89,142,141
EA,7,29,Guam,38211.68,14792.94,2025-07-17,No,Read,Among,System,Party,Yes,Light,2025-08-03,893208463,Computer,Actually,68,Pm,GBP,Son,116160868,Donald Daniels,129702791,EA,2026-10-02,Clearly,LAT04,MAT-91309,EMP138621,54,2025-07-16,Pending,473231169,2025-07-17,Simply Injection,Begin,2025-07-17,EUR,1538645404,FO,PG36,NA01,632849587,2025-08-03,3,2024-09-14,Closed,CT-8015-GMQ,37,18,142,169,405,169,169
EA,1,3,Trinidad and Tobago,4212.31,23400.01,2025-01-14,Yes,Voice,Happy,We,Account,Yes,Generation,2025-02-02,785564625,Recent,Sign,60,After,GBP,Large,314777492,Samantha Aguilar,782649875,EA,2026-02-28,Pull,LAT04,MAT-45907,EMP509240,87,2025-01-13,Released,419199187,2025-01-14,Speech Patch,Forget,2025-01-14,USD,6656112598,FO,PG30,NA01,924507497,2025-02-02,1,2024-01-16,Open,CT-3472-PNG,15,25,25,25,344,25,25
EA,3,11,Bouvet Island (Bouvetoya),40848.9,3448.59,2025-03-16,Yes,Book,Record,I,Social,No,Business,2025-04-11,369888350,Special,Election,26,Town,EUR,Of,394095991,Gregory Pollard,827971362,EA,2025-07-03,Account,AP03,MAT-47986,EMP433075,69,2025-03-15,Pending,278019482,2025-03-16,Experience Tablet,Book,2025-03-16,EUR,5585418799,NB,PG45,EU01,449551685,2025-04-11,4,2026-07-15,Open,CT-4229-AWU,5,0,6,15,146,15,11
EA,1,3,United States of America,46226.62,29904.21,2025-01-15,Yes,Scene,Scene,Million,Present,No,Whom,2025-01-23,335224229,Behind,Spring,80,Director,EUR,Mouth,465325903,Shelly Mckenzie,399061320,EA,2026-11-04,Growth,AP03,MAT-37872,EMP932020,61,2025-01-14,Released,118078055,2025-01-15,Effort Capsule,Particularly,2025-01-15,EUR,3479625932,FO,PG60,NA01,840759058,2025-01-23,4,2024-06-19,Closed,CT-1816-RCG,87,229,229,281,200,281,278
EA,12,49,Sudan,32794.1,38679.45,2024-12-03,Yes,Participant,Building,Stage,Sea,No,Wait,2025-01-02,962160764,Music,Gas,26,Once,GBP,Interest,852922320,Ross Guerra,472745203,EA,2025-06-16,Mr,EU02,MAT-58266,EMP265746,69,2024-12-02,Pending,226488394,2024-12-03,Tree Injection,In,2024-12-03,USD,7401168721,NB,PG62,NA01,875511588,2025-01-02,1,2024-09-06,Open,CT-3228-ZKT,220,226,74,259,184,259,254
EA,12,51,Burundi,26741.05,21907.03,2024-12-18,No,Cultural,Hot,Cut,Conference,Yes,Speech,2024-12-31,372340575,Issue,Difficult,58,Charge,JPY,Land,955951280,Tonya Tucker,720983257,EA,2026-03-17,Size,AP03,MAT-46171,EMP245369,17,2024-12-17,Released,241402651,2024-12-18,Though Solution,Environmental,2024-12-18,USD,3543176155,FO,PG46,EU01,898134187,2024-12-31,3,2026-04-16,Closed,CT-3636-AVP,6,48,41,55,354,55,51
EA,10,40,Dominican Republic,48700.2,6477.17,2025-10-05,No,House,Hotel,Message,Always,Yes,Board,2025-10-23,171596579,Professional,By,75,White,JPY,On,781594564,Teresa Sanders,458683468,EA,2025-06-25,Life,EU02,MAT-14115,EMP341269,59,2025-10-04,Released,567383159,2025-10-05,Property Tablet,Road,2025-10-05,EUR,7183086624,NB,PG91,NA01,335688947,2025-10-23,2,2025-12-28,Closed,CT-1696-SCY,52,47,76,189,72,189,187
EA,11,48,Albania,49691.67,40194.36,2024-11-30,Yes,Build,It,Issue,Themselves,No,Call,2024-12-12,108681084,Main,Less,88,Method,JPY,Cup,929573411,James Fitzgerald,989585442,EA,2026-08-29,Use,EU02,MAT-31615,EMP232019,17,2024-11-29,Pending,970565687,2024-11-30,Trouble Capsule,After,2024-11-30,GBP,1352624292,NB,PG62,NA01,862009353,2024-12-12,2,2025-04-07,Closed,CT-9781-BYC,100,114,217,226,444,226,222
EA,2,7,Cuba,21125.85,16097.7,2025-02-12,No,Public,Huge,Campaign,Condition,Yes,Job,2025-03-03,176774127,Structure,Player,40,Report,JPY,High,955308332,Alexandra Jackson,520127235,EA,2025-04-16,Notice,US01,MAT-59372,EMP905360,90,2025-02-11,Released,443687492,2025-02-12,Issue Patch,Lead,2025-02-12,USD,3209017108,FO,PG49,EU01,126022896,2025-03-03,3,2025-11-13,Open,CT-7487-KNX,9,41,2,52,262,52,48
EA,6,23,Antarctica (the territory South of 60 deg S),28269.51,7727.21,2025-06-05,No,Kid,There,Area,Exist,Yes,Let,2025-07-04,722467033,Speech,Change,88,Town,GBP,Receive,120938542,Tiffany Black,876587049,EA,2025-09-24,Some,EU02,MAT-68176,EMP218203,28,2025-06-04,Released,595000610,2025-06-05,Treat Tablet,Medical,2025-06-05,GBP,2004010015,FO,PG36,EU01,623784350,2025-07-04,4,2026-09-18,Closed,CT-3230-HFO,43,34,151,154,232,154,151
EA,7,30,India,28632.1,38946.19,2025-07-26,Yes,It,Family,Focus,Parent,Yes,Front,2025-08-10,516721274,Much,Open,52,Officer,EUR,Discover,968914268,Jason Anderson,896275281,EA,2025-08-05,Part,EU02,MAT-58634,EMP123349,43,2025-07-25,Pending,725720791,2025-07-26,Impact Patch,Score,2025-07-26,USD,5286013796,FO,PG16,EU01,141371727,2025-08-10,5,2025-04-19,Open,CT-7047-GQC,33,22,8,64,151,64,63
EA,1,4,Trinidad and Tobago,17584.12,42401.33,2025-01-20,Yes,Old,Population,Receive,New,Yes,Nor,2025-01-31,702366645,Fish,Yeah,82,Party,USD,In,254039568,Andrew Miller,202768421,EA,2024-06-08,Also,US01,MAT-22152,EMP637567,65,2025-01-19,Released,163843800,2025-01-20,Culture Solution,Especially,2025-01-20,USD,5339208912,NB,PG20,EU01,367936929,2025-01-31,3,2025-08-26,Open,CT-3472-PNG,49,126,21,154,467,154,151
EA,5,19,Tanzania,32646.52,16926.22,2025-05-07,No,Four,Market,View,Happy,No,Husband,2025-05-25,977897879,Office,Democratic,21,Reflect,GBP,Ever,742489696,Michael Johnson,509213095,EA,2026-10-28,Special,AP03,MAT-49651,EMP886648,57,2025-05-06,Released,115970522,2025-05-07,High Injection,Exactly,2025-05-07,USD,6014378829,NB,PG73,NA01,433911667,2025-05-25,1,2026-06-01,Open,CT-9831-IEW,172,175,158,220,69,220,220
EA,4,16,Belize,31997.15,5460.34,2025-04-19,No,Turn,Trouble,Beat,Body,No,With,2025-05-01,802687667,Maybe,Service,88,Laugh,EUR,Entire,595693764,Melissa Neal,773206638,EA,2026-03-09,Modern,LAT04,MAT-82814,EMP209917,11,2025-04-18,Released,590982410,2025-04-19,Reduce Solution,Support,2025-04-19,GBP,6616622336,FO,PG41,EU01,135707786,2025-05-01,5,2024-08-29,Open,CT-3395-UCM,233,182,229,250,255,250,249
