Actual Delivery Date,Item number of purchase requisition,Item number of purchasing document,Material,MRP Controller,Name of requisitioner/requester,Order Number,Plant,Product Description,Purchase Requisition Number,Purchasing document number,Purchasing Organization,Requested Unit of Measure,Requisition Date,Sequential Number of Account Assignment,Vendor,Distribution Percentage,Preq Quantity,Trial Alias
2025-01-22,58,44,MAT-17085,MRP-106,David Joseph,72B8F29D-C0E,LAT04,Myself Capsule,PR89257998,9559213773,EU01,EA,2025-01-09,481,V4297490,30.13,197,CT-6592-IDY
2025-10-10,56,75,MAT-82814,MRP-110,Jeremy Smith,4C575DF3-DBF,LAT04,Reduce Solution,PR31279461,5137358258,NA01,EA,2025-09-23,128,V2636833,30.12,10,CT-3395-UCM
2025-10-26,23,15,MAT-98864,MRP-119,Gloria Brooks,362FCDC7-090,AP03,Positive Injection,PR88054942,7273342817,EU01,EA,2025-10-07,211,V2499867,39.41,174,CT-9781-BYC
2025-06-11,48,32,MAT-86168,MRP-119,Karen Williams,D822806C-DEC,AP03,Run Solution,PR82869255,6440576866,EU01,EA,2025-06-05,486,V9047773,43.41,114,CT-6109-EDZ
2025-07-24,36,58,MAT-55297,MRP-134,Pamela King,87528E6A-790,EU02,New Solution,PR16863111,8061725089,EU01,EA,2025-07-13,386,V4712924,69.52,83,CT-1816-RCG
2025-01-29,77,42,MAT-16627,MRP-125,Terri Barrera,FF0D6EB9-415,US01,Receive Patch,PR49220192,3871084521,EU01,EA,2025-01-12,391,V7935868,56.85,16,CT-9831-IEW
2025-05-11,79,40,MAT-49651,MRP-112,Rachel Brown,CA6F43AD-A7B,AP03,High Injection,PR56242871,1554276599,EU01,EA,2025-05-05,17,V9390545,64.26,169,CT-9831-IEW
2024-12-20,20,10,MAT-54713,MRP-134,Charles Reed,215887CE-296,AP03,Free Solution,PR18710430,5279345205,EU01,EA,2024-12-03,427,V5914871,27.85,35,CT-3230-HFO
2025-08-04,83,33,MAT-23246,MRP-119,Tara Cox,6578EBA2-254,US01,Type Injection,PR27705411,7023618580,EU01,EA,2025-07-26,285,V5041322,52.38,239,CT-8872-GKR
2025-02-24,25,30,MAT-16078,MRP-139,Danielle Villegas,C8E46777-965,LAT04,Stock Patch,PR69379628,7848789816,NA01,EA,2025-02-05,447,V7154119,46.07,182,CT-9831-IEW
2025-06-15,68,85,MAT-16848,MRP-106,Melissa James,FDCEFEF5-08F,LAT04,Blue Patch,PR63807496,7302643473,EU01,EA,2025-05-30,157,V1058800,75.5,76,CT-8742-ECD
2025-10-03,34,56,MAT-47986,MRP-130,Maria Young,84B7FABF-DFC,AP03,Experience Tablet,PR40204810,9545222484,NA01,EA,2025-09-17,260,V2767057,73.52,134,CT-4229-AWU
2025-04-06,47,68,MAT-81584,MRP-136,Brittany Rocha,E2E08976-B06,US01,Set Solution,PR97879506,6151254330,NA01,EA,2025-03-26,395,V7751017,36.34,107,CT-5806-JWO
2025-05-08,44,23,MAT-47254,MRP-136,Karen Chang,B346DE58-18B,EU02,Article Tablet,PR56172073,5344431633,EU01,EA,2025-04-20,418,V8144434,13.75,204,CT-8742-ECD
2025-03-31,86,77,MAT-97442,MRP-101,Robert Davis,24B63DC5-4E0,EU02,Common Patch,PR27360175,7173110820,EU01,EA,2025-03-22,311,V7545790,45.49,198,CT-2004-PSX
2025-10-12,39,41,MAT-84153,MRP-118,Michael Jones,A3929C23-5C7,US01,Floor Patch,PR82006993,1590119768,NA01,EA,2025-09-22,373,V4644779,78.19,254,CT-3472-PNG
2025-07-20,65,55,MAT-86920,MRP-105,Janet Snyder,57C036FF-7C4,US01,Various Solution,PR29165897,7241694074,EU01,EA,2025-07-14,282,V3995469,98.23,99,CT-8970-PLO
2025-10-30,18,77,MAT-33775,MRP-113,Cheryl James,C8CA32C6-E9E,LAT04,Something Patch,PR98122750,6695674941,EU01,EA,2025-10-17,363,V9444846,66.51,36,CT-9831-IEW
2025-09-08,13,31,MAT-18409,MRP-137,Joseph Preston,ACC4DB4C-3ED,AP03,Commercial Tablet,PR59121613,4464056108,EU01,EA,2025-08-30,126,V7876056,3.9,141,CT-3228-ZKT
2025-03-11,61,31,MAT-91309,MRP-118,Melissa Jones,577BCE94-FDC,LAT04,Simply Injection,PR18182956,1493579611,NA01,EA,2025-03-04,440,V2079152,68.08,57,CT-8015-GMQ
2024-12-30,46,82,MAT-73628,MRP-138,Amanda Brady,72E2F609-A3F,US01,Health Solution,PR80376186,8796608794,NA01,EA,2024-12-20,118,V5254563,50.66,279,CT-3230-HFO
2025-01-04,72,24,MAT-82814,MRP-110,Allen Mendez,5B67D985-194,LAT04,Reduce Solution,PR24055735,2979339384,NA01,EA,2024-12-29,454,V4967027,96.64,138,CT-3395-UCM
2025-02-05,67,44,MAT-53554,MRP-103,Susan Foster,A1F0CF54-5A3,LAT04,They Capsule,PR99588632,6390666664,EU01,EA,2025-01-21,399,V5752906,67.07,279,CT-5014-EEP
2025-06-11,50,43,MAT-81584,MRP-136,Allen Foster,150CE384-BD4,US01,Set Solution,PR35817469,3332326893,NA01,EA,2025-06-03,368,V8802487,95.93,64,CT-5806-JWO
2025-08-22,66,71,MAT-78401,MRP-103,Adam Singh,1E2662CC-B8F,US01,Expect Tablet,PR57953318,5793348007,NA01,EA,2025-08-09,453,V9164849,60.91,206,CT-1696-SCY
2024-12-19,65,39,MAT-18458,MRP-102,Samuel Schneider,10DC3E02-6DA,EU02,Reason Tablet,PR54412922,6270869670,EU01,EA,2024-12-14,152,V8187929,86.0,184,CT-7487-KNX
2025-05-26,21,38,MAT-78401,MRP-103,Sarah Mack,29A6CFAF-AF6,US01,Expect Tablet,PR64558662,9795471935,EU01,EA,2025-05-14,175,V8848361,88.77,201,CT-1696-SCY
2025-01-28,28,37,MAT-82398,MRP-137,Charles Richard,04FD0749-0E8,EU02,Range Solution,PR25713612,7505500309,EU01,EA,2025-01-11,229,V1971968,44.88,118,CT-8970-PLO
2025-02-16,18,29,MAT-86920,MRP-105,Michelle Baker,18BE1300-48F,US01,Various Solution,PR95504493,3436297493,NA01,EA,2025-01-31,287,V5522417,58.54,119,CT-8970-PLO
2025-01-13,65,71,MAT-52579,MRP-109,Barbara Hernandez,2A431C19-BD6,US01,Cell Tablet,PR55099824,3787118090,EU01,EA,2024-12-30,291,V4968882,67.67,114,CT-6551-IBW
2024-11-30,64,65,MAT-86168,MRP-119,Michelle Jacobs,B91ED3F0-13C,AP03,Run Solution,PR31041893,5499584270,NA01,EA,2024-11-10,361,V2908108,71.71,208,CT-6109-EDZ
2025-04-05,19,49,MAT-37872,MRP-110,Michael Thomas,E9DC4109-30B,AP03,Effort Capsule,PR10611433,3850820507,EU01,EA,2025-03-17,140,V5720644,42.85,174,CT-1816-RCG
2025-06-06,22,61,MAT-56157,MRP-116,Nicole Hudson,654F1F56-570,EU02,Contain Solution,PR81720950,7996737564,NA01,EA,2025-05-22,218,V5594177,22.92,94,CT-7487-KNX
2025-08-02,38,41,MAT-96156,MRP-110,Mrs. Sheila Cummings,ADA890D8-F3F,AP03,Compare Tablet,PR11945812,4192559437,EU01,EA,2025-07-19,118,V4856554,53.2,296,CT-9781-BYC
2025-01-10,42,81,MAT-82398,MRP-137,Allen Garcia,ECE5617D-411,EU02,Range Solution,PR84785135,3522972911,EU01,EA,2024-12-23,482,V5247115,44.02,29,CT-8970-PLO
2025-10-19,83,50,MAT-66257,MRP-133,Katherine Faulkner,044D2FC6-0A1,LAT04,Hundred Solution,PR12608399,3135328990,NA01,EA,2025-10-02,480,V6930473,77.35,117,CT-7484-BIH
2025-01-15,11,88,MAT-84153,MRP-118,Michele Fernandez,954B5F54-FC0,US01,Floor Patch,PR60485558,5047156823,EU01,EA,2024-12-30,365,V8117628,92.46,238,CT-3472-PNG
2025-11-05,78,85,MAT-26378,MRP-126,Mitchell Mitchell,41D466A6-21E,AP03,Shake Tablet,PR76682500,3624960653,NA01,EA,2025-10-19,492,V5576910,49.16,167,CT-5806-JWO
2025-01-21,89,20,MAT-49508,MRP-116,Richard Gibson,7C1A47DE-DD1,LAT04,Able Patch,PR68655403,6421116235,EU01,EA,2025-01-15,130,V2732751,4.14,55,CT-6592-IDY
2025-05-12,57,49,MAT-74459,MRP-114,Lauren Kennedy,694E96DC-2A6,US01,Memory Solution,PR80141404,8448189544,NA01,EA,2025-05-03,458,V6498086,86.3,78,CT-8015-GMQ
2025-01-16,64,40,MAT-96156,MRP-110,Kathryn Arnold,41760EC3-898,AP03,Compare Tablet,PR17042910,6045214029,NA01,EA,2025-01-03,84,V4421130,54.57,299,CT-9781-BYC
2025-10-29,61,20,MAT-85304,MRP-117,William Shaw,CCFEC4B3-889,AP03,Artist Solution,PR34949335,7710113816,EU01,EA,2025-10-13,290,V9104612,72.24,10,CT-8970-PLO
2025-08-16,65,83,MAT-56157,MRP-116,Joshua Mason,603EDC76-89F,EU02,Contain Solution,PR55880615,4375475341,EU01,EA,2025-08-04,37,V5546823,57.91,291,CT-7487-KNX
2025-04-17,81,43,MAT-37872,MRP-110,Amanda Matthews,535A2ABA-732,AP03,Effort Capsule,PR55317334,8301164084,NA01,EA,2025-04-11,91,V4388384,5.88,248,CT-1816-RCG
2025-11-01,50,86,MAT-74459,MRP-114,Matthew Daniel,060D2D29-5FD,US01,Memory Solution,PR17606295,4626951931,NA01,EA,2025-10-24,53,V6938879,88.69,212,CT-8015-GMQ
2025-03-22,90,28,MAT-45907,MRP-115,Donald Kennedy,29C1FE4B-0BF,LAT04,Speech Patch,PR26006004,4233244587,NA01,EA,2025-03-12,31,V9779886,35.1,163,CT-3472-PNG
2025-10-11,14,25,MAT-82814,MRP-110,Jennifer Miller,CD20E168-B67,LAT04,Reduce Solution,PR49328175,4085610015,EU01,EA,2025-09-22,104,V2972682,96.29,67,CT-3395-UCM
2025-02-12,85,72,MAT-46171,MRP-136,Bradley Davis,F810F57F-82C,AP03,Though Solution,PR46080688,2260662893,NA01,EA,2025-02-02,174,V6127353,10.2,137,CT-3636-AVP
2025-02-12,82,71,MAT-74459,MRP-114,Christopher Palmer,F58F8FB7-75D,US01,Memory Solution,PR59963144,7414768992,NA01,EA,2025-02-02,308,V9130629,40.0,192,CT-8015-GMQ
2025-05-20,32,54,MAT-40089,MRP-126,Dan Colon,A8BF7403-DA8,EU02,Pull Patch,PR31597095,4134019570,NA01,EA,2025-05-10,283,V1190415,47.91,102,CT-4229-AWU
2025-05-08,41,23,MAT-84153,MRP-118,Joseph Walton,22D3A96C-CE5,US01,Floor Patch,PR63103203,3096960003,EU01,EA,2025-05-03,269,V8247733,26.23,176,CT-3472-PNG
2024-12-04,18,50,MAT-74459,MRP-114,Ashley Collins,6BBDED17-78C,US01,Memory Solution,PR88283424,4679013308,EU01,EA,2024-11-26,282,V2823688,77.3,224,CT-8015-GMQ
2025-06-18,52,50,MAT-31615,MRP-122,Julie Hahn,D1C0BAB1-86B,EU02,Trouble Capsule,PR30339367,1481228608,NA01,EA,2025-06-10,146,V6457014,99.39,235,CT-9781-BYC
2025-03-08,47,35,MAT-78401,MRP-103,Matthew Hancock,7E8BFE7E-71C,US01,Expect Tablet,PR88332237,2257342852,NA01,EA,2025-02-17,397,V9268052,26.16,274,CT-1696-SCY
2025-07-07,86,17,MAT-74247,MRP-131,Phyllis Walker,C8C1DDA2-376,EU02,Great Patch,PR53738637,9413254033,NA01,EA,2025-06-28,272,V9583984,29.78,115,CT-7484-BIH
2024-12-01,33,74,MAT-16078,MRP-139,Catherine Rogers DDS,F038C3DD-DF4,LAT04,Stock Patch,PR34483593,4341520041,NA01,EA,2024-11-13,184,V2832593,28.45,205,CT-9831-IEW
2025-05-06,72,68,MAT-97442,MRP-101,Tiffany Lee,86905D6E-07A,EU02,Common Patch,PR88751865,5128329649,EU01,EA,2025-04-20,104,V9842835,20.47,215,CT-2004-PSX
2025-10-30,55,45,MAT-22108,MRP-102,Sarah Wilson,974CD620-D0E,US01,Win Injection,PR91324378,3345966724,NA01,EA,2025-10-14,260,V7203827,5.0,243,CT-6910-RDE
2025-06-25,58,56,MAT-14039,MRP-115,James Newman,A124C449-F40,EU02,Should Tablet,PR86735508,9856650996,NA01,EA,2025-06-17,61,V8769746,49.0,280,CT-6109-EDZ
2025-04-10,42,71,MAT-22610,MRP-108,Nicole Nelson,37B5CD9F-E09,LAT04,Us Solution,PR73490389,3903857287,NA01,EA,2025-04-01,481,V4467536,88.49,283,CT-9771-CZL
2025-06-04,15,48,MAT-30703,MRP-124,Daniel Silva,99D24A00-746,AP03,Cold Injection,PR80674101,4952364972,EU01,EA,2025-05-28,383,V9260673,40.92,297,CT-3228-ZKT
2025-09-28,74,33,MAT-47140,MRP-111,Michelle Walters,105D5698-13F,US01,Side Capsule,PR56656643,1520043892,NA01,EA,2025-09-19,240,V8939894,51.08,41,CT-8742-ECD
2025-02-23,53,61,MAT-56157,MRP-116,Miss Megan Martinez PhD,4C90F0B2-38C,EU02,Contain Solution,PR58350225,3180322935,NA01,EA,2025-02-06,99,V4398642,13.03,35,CT-7487-KNX
2025-08-15,79,10,MAT-66331,MRP-111,Shannon Myers,D12FEB9C-3EF,LAT04,Step Solution,PR42950548,2547405126,NA01,EA,2025-08-02,75,V7748095,29.95,295,CT-8872-GKR
2024-12-15,17,74,MAT-81584,MRP-136,Nicole Wilson,703C84BA-54F,US01,Set Solution,PR10909010,5748053283,EU01,EA,2024-12-05,239,V7325947,4.11,173,CT-5806-JWO
2025-05-24,35,47,MAT-37872,MRP-110,Jeff White,6AA14615-5B4,AP03,Effort Capsule,PR60494564,5099262334,NA01,EA,2025-05-14,485,V7177914,3.3,219,CT-1816-RCG
2025-10-10,67,50,MAT-96156,MRP-110,Michelle Bates,79EDC353-4DF,AP03,Compare Tablet,PR44050042,2359036313,NA01,EA,2025-10-01,478,V2790162,65.94,262,CT-9781-BYC
2025-02-25,43,42,MAT-93657,MRP-109,Eric Mcbride,AD35DE4B-215,AP03,Dog Patch,PR92634578,1838304367,NA01,EA,2025-02-13,111,V3722017,9.5,235,CT-6910-RDE
2025-11-03,23,39,MAT-98864,MRP-119,Michael Wilson,5BF6AB13-B1D,AP03,Positive Injection,PR60567112,5381224700,NA01,EA,2025-10-23,480,V6498334,53.23,109,CT-9781-BYC
2025-10-06,79,54,MAT-32011,MRP-134,Joseph Munoz,820B4015-B5D,EU02,Offer Tablet,PR33142682,7917538377,EU01,EA,2025-09-24,46,V2045654,56.15,34,CT-2004-PSX
2025-01-08,51,63,MAT-22610,MRP-108,Kevin White,CC4ACAE6-0A8,LAT04,Us Solution,PR97437693,2353451069,EU01,EA,2024-12-31,99,V2931182,36.69,75,CT-9771-CZL
2025-01-14,14,55,MAT-74459,MRP-114,Heather Tucker,420B1E11-8DA,US01,Memory Solution,PR42952431,7980306337,NA01,EA,2025-01-04,196,V1064279,5.83,91,CT-8015-GMQ
2025-04-08,35,76,MAT-54383,MRP-108,Justin Hendricks,0ACC4422-7D1,EU02,Agency Injection,PR90809693,3233833801,EU01,EA,2025-03-30,323,V5493950,60.62,234,CT-3636-AVP
2025-11-09,48,61,MAT-56157,MRP-116,Elizabeth Reynolds,AED5210F-538,EU02,Contain Solution,PR71008184,2414606422,EU01,EA,2025-10-22,420,V1624131,91.41,179,CT-7487-KNX
2025-07-11,85,74,MAT-22610,MRP-108,Leslie Gregory,F2407184-2CE,LAT04,Us Solution,PR29663768,7127451985,EU01,EA,2025-07-04,319,V8990180,28.39,66,CT-9771-CZL
2025-02-12,78,81,MAT-40706,MRP-103,Margaret Thomas,38951FD6-B03,US01,Keep Capsule,PR77262382,4233460952,NA01,EA,2025-01-24,240,V5908241,43.02,234,CT-3395-UCM
2025-07-11,12,75,MAT-52579,MRP-109,Lucas Meyers,96B625BB-687,US01,Cell Tablet,PR27013168,7939926955,NA01,EA,2025-06-23,477,V4750998,59.31,149,CT-6551-IBW
